OID_,Degree,Elevation,Shape_Length,Distance
304,108.72,1941,0.026620919,2.215715793
306,109.44,1925,0.026078063,2.182200229
308,110.16,1915,0.02593944,2.182320059
310,110.88,1904,0.025351169,2.144377999
312,111.6,1903,0.025044051,2.12989891
314,112.32,1895,0.02426623,2.074962461
316,113.04,1899,0.023801305,2.046272846
318,113.76,1899,0.023665961,2.045695915
320,114.48,1902,0.02353188,2.045147893
322,115.2,1888,0.023392374,2.044036854
324,115.92,1890,0.023267178,2.044080008
326,116.64,1895,0.022794243,2.013309182
328,117.36,1897,0.02263216,2.009707785
330,118.08,1897,0.02271126,2.027489572
332,118.8,1898,0.021887774,1.964335588
334,119.52,1899,0.021910504,1.97674163
336,120.24,1894,0.021416961,1.942328876
338,120.96,1888,0.021319123,1.94350361
340,121.68,1886,0.021508104,1.970841194
342,122.4,1886,0.021546023,1.984407943
344,123.12,1889,0.021615225,2.000865595
346,123.84,1887,0.020960471,1.949987267
348,124.56,1887,0.020971274,1.960680577
350,125.28,1892,0.020817633,1.955877651
352,126,1892,0.02070067,1.954337029
354,126.72,1893,0.020962751,1.988584068
356,127.44,1893,0.020830786,1.985438655
358,128.16,2225,0.041415339,3.966055295
360,128.88,2246,0.041325696,3.975760189
362,129.6,2293,0.042278714,4.085996817
364,130.32,2332,0.041905783,4.068157884
366,131.04,2361,0.041834757,4.079254513
368,131.76,2397,0.041955551,4.108887452
370,132.48,2419,0.041362449,4.068204684
372,133.2,2444,0.041671317,4.115917926
374,133.92,2454,0.041981226,4.163779181
376,134.64,2464,0.041863186,4.169053703
378,135.36,2469,0.041577331,4.157228129
380,136.08,2470,0.041843279,4.200341178
382,136.8,2477,0.041594451,4.19154831
384,137.52,2464,0.041341527,4.181908529
386,138.24,2446,0.041219461,4.185118869
388,138.96,2429,0.040903122,4.168190815
390,139.68,2421,0.040597933,4.151918362
392,140.4,2185,0.028316721,2.90605503
394,141.12,2160,0.025127597,2.587618349
396,141.84,2177,0.024729881,2.555222124
398,142.56,2200,0.025055177,2.597342944
400,143.28,2207,0.02502067,2.602095477
402,144,2282,0.026788305,2.794666603
404,144.72,2297,0.02659827,2.783332828
406,145.44,2320,0.026181768,2.747924714
408,146.16,2332,0.026598536,2.799787949
410,146.88,2353,0.026451482,2.792195941
412,147.6,2370,0.026870502,2.844247586
414,148.32,2382,0.026898015,2.854792485
416,149.04,2393,0.026946763,2.867415746
418,149.76,2410,0.027416238,2.924750645
420,150.48,2418,0.027764768,2.969196803
422,151.2,2429,0.028056649,3.007542315
424,151.92,2435,0.028716018,3.08530668
426,152.64,2464,0.029585662,3.185816454
428,153.36,2469,0.029759909,3.211466644
430,154.08,2467,0.029644617,3.205658044
432,154.8,2463,0.029534336,3.200113127
434,155.52,2456,0.02913875,3.163319725
436,156.24,2450,0.029039167,3.158331991
438,156.96,2446,0.028944246,3.153586317
440,157.68,2428,0.028853897,3.149077025
442,158.4,2420,0.028481517,3.113477775
444,159.12,2406,0.028400871,3.109465838
446,159.84,2397,0.028208415,3.092943221
448,160.56,2374,0.028252367,3.102094401
450,161.28,2361,0.02818437,3.09872622
452,162,2344,0.028403341,3.126705051
454,162.72,2331,0.028060565,3.092605134
456,163.44,2319,0.02828636,3.12092814
458,164.16,2307,0.028233826,3.118338079
460,164.88,2298,0.028185193,3.115942783
462,165.6,2541,0.038790524,4.292174417
464,166.32,2541,0.038734052,4.289397356
466,167.04,2537,0.038962265,4.317850962
468,167.76,2529,0.038915801,4.315569371
470,168.48,2523,0.039153327,4.344483311
472,169.2,2522,0.039116823,4.342692909
474,169.92,2510,0.039085401,4.341152545
476,170.64,2508,0.039059025,4.339860046
478,171.36,2497,0.03903766,4.338813479
480,172.08,2500,0.038743359,4.307115043
482,172.8,2505,0.039009848,4.337451572
484,173.52,2513,0.038725561,4.306243669
486,174.24,2515,0.038723988,4.306166662
488,174.96,2514,0.038727276,4.30632764
490,175.68,2518,0.038457553,4.275832715
492,176.4,2516,0.037914531,4.214667942
494,177.12,2517,0.037653878,4.184617333
496,177.84,2521,0.038510601,4.278430936
498,178.56,2519,0.038816319,4.310689519
500,179.28,2512,0.038569958,4.281340576
502,180,2514,0.039443664,4.375988737
504,180.72,2506,0.039207036,4.347119213
506,181.44,2503,0.039533827,4.3804156
508,182.16,2498,0.039866281,4.413991898
510,182.88,2494,0.039795269,4.402578825
512,183.6,2479,0.039987099,4.419937063
514,184.32,2458,0.039492544,4.361165043
516,185.04,2446,0.040128181,4.42689198
518,185.76,2463,0.041618084,4.586321851
520,186.48,2453,0.041987326,4.621731046
522,187.2,2440,0.041796121,4.595127149
524,187.92,2441,0.042461689,4.662353397
526,188.64,2440,0.042978369,4.712762502
528,189.36,2431,0.043384991,4.750663481
530,190.08,2416,0.043650001,4.772651029
532,190.8,2459,0.046645719,5.092367877
534,191.52,2446,0.046495641,5.067856248
536,192.24,2440,0.047780057,5.199179466
538,192.96,2444,0.048528422,5.271477407
540,193.68,2435,0.04869075,5.279620724
542,194.4,2433,0.049151832,5.319714265
544,195.12,2427,0.049036176,5.296997691
546,195.84,2428,0.049807511,5.369640831
548,196.56,2425,0.050000318,5.379387917
550,197.28,2428,0.050496887,5.421346695
552,198,2425,0.050408349,5.400080981
554,198.72,2422,0.050623843,5.411045244
556,199.44,2104,0.030437,3.245819828
558,200.16,2116,0.030876988,3.284973715
560,200.88,2142,0.030899706,3.279435009
562,201.6,2140,0.030824934,3.263383221
564,202.32,2155,0.028879243,3.049622823
566,203.04,2215,0.029401394,3.096686397
568,203.76,2238,0.029797684,3.130075529
570,204.48,2252,0.029647932,3.1058734
572,205.2,2274,0.029340842,3.065160864
574,205.92,2300,0.02966815,3.090561182
576,206.64,2321,0.029841713,3.099641909
578,207.36,2360,0.030020841,3.109041232
580,208.08,2391,0.029885718,3.085732229
582,208.8,2403,0.030074386,3.095691976
584,209.52,2414,0.030269002,3.105997602
586,210.24,2421,0.03039995,3.109522675
588,210.96,2413,0.03034831,3.094205959
590,211.68,2397,0.029898073,3.038280308
592,212.4,2397,0.029893602,3.027677701
594,213.12,2376,0.029412616,2.968850736
596,213.84,2351,0.029881258,3.005761859
598,214.56,2328,0.029769024,2.983996701
600,215.28,2292,0.029969211,2.993401755
602,216,2257,0.029063567,2.89249017
604,216.72,2248,0.029093983,2.884950627
606,217.44,2205,0.02898575,2.86358809
608,218.16,2219,0.030983542,3.049498385
610,218.88,2201,0.030921165,3.031813807
612,219.6,2174,0.031036343,3.031422456
614,220.32,2138,0.031067115,3.022638626
616,221.04,2347,0.043392074,4.205283993
618,221.76,2353,0.043696023,4.21791967
620,222.48,2368,0.044392808,4.267979327
622,223.2,2397,0.045215068,4.329405272
624,223.92,2420,0.046059434,4.392193797
626,224.64,2442,0.046926845,4.456409479
628,225.36,2496,0.048741701,4.60945506
630,226.08,2542,0.049524671,4.663787974
632,226.8,2539,0.050025732,4.690976809
634,227.52,2535,0.049890889,4.658308931
636,228.24,2522,0.050143325,4.661691285
638,228.96,2514,0.050194488,4.646179353
640,229.68,2491,0.050650521,4.667893067
642,230.4,2470,0.050591129,4.641898412
644,231.12,2455,0.051161597,4.673462248
646,231.84,2447,0.051467888,4.680511625
648,232.56,2447,0.051712921,4.681750834
650,233.28,2448,0.051582607,4.648952593
652,234,2447,0.051847117,4.651693159
654,234.72,2448,0.052462014,4.685531353
656,235.44,2449,0.052380803,4.656997886
658,236.16,2309,0.042271134,3.740939126
660,236.88,2342,0.042362896,3.731915968
662,237.6,2378,0.043589397,3.822381406
664,238.32,2392,0.043069531,3.759459327
666,239.04,2387,0.042498213,3.692547975
668,239.76,2334,0.043113921,3.728841295
670,240.48,2319,0.044785019,3.855597632
672,241.2,2282,0.044807628,3.839839101
674,241.92,2199,0.044511102,3.796941226
676,242.64,2149,0.044545495,3.782492545
678,243.36,2124,0.044584598,3.768539627
680,244.08,2078,0.044946293,3.781837553
682,244.8,2471,0.091446046,7.660526171
684,245.52,2526,0.092411677,7.706530743
686,246.24,2511,0.092892745,7.711912519
688,246.96,2491,0.091471025,7.559996787
690,247.68,2473,0.091260536,7.509199032
692,248.4,2423,0.091395519,7.487265417
694,249.12,2480,0.112587735,9.18372261
696,249.84,2395,0.113307034,9.202523509
698,250.56,2392,0.122456042,9.903348101
700,251.28,2372,0.123067794,9.910800148
702,252,2355,0.123886923,9.935164024
704,252.72,2368,0.124953801,9.979500413
706,253.44,2388,0.125906429,10.0148098
708,254.16,2432,0.127692013,10.11631837
710,254.88,2488,0.129979908,10.25719735
712,255.6,2614,0.139972291,11.00341908
714,256.32,2541,0.133887273,10.48511017
716,257.04,2431,0.13426435,10.47572469
718,257.76,2360,0.134394489,10.44793444
720,258.48,2037,0.077724727,6.02024664
722,259.2,2097,0.07807374,6.02649795
724,259.92,2145,0.078757072,6.058936887
726,260.64,2199,0.079612502,6.104898203
728,261.36,2246,0.081180694,6.205629743
730,262.08,2332,0.08488258,6.468985543
732,262.8,2340,0.086942395,6.606639149
734,263.52,2525,0.104907028,7.949646748
736,264.24,2633,0.1055147,7.974209009
738,264.96,2719,0.105849817,7.979015797
740,265.68,2799,0.108171577,8.134170979
742,266.4,2855,0.110215795,8.268772886
744,267.12,2285,0.064478697,4.82657077
746,267.84,2322,0.064931942,4.850606883
748,268.56,2326,0.065111591,4.854807041
750,269.28,1580,0.000945298,0.07035397
752,270,1580,0.001223509,0.090914128
754,270.72,1580,0.00122208,0.090676105
756,271.44,1579,0.000384352,0.028481104
758,272.16,1579,0.000384,0.028422448
760,272.88,1579,0.000662043,0.048953729
762,273.6,1579,0.000661607,0.048880733
764,274.32,1579,0.000661256,0.048821892
766,275.04,1579,0.000383087,0.028269678
768,275.76,1579,0.000660808,0.048746844
770,276.48,1579,0.000660712,0.048730729
772,277.2,1579,0.000382921,0.028241691
774,277.92,1579,0.000660776,0.048741565
776,278.64,1645,0.007607934,0.561365676
778,279.36,2069,0.043748733,3.229574631
780,280.08,2300,0.047664668,3.520890758
782,280.8,2312,0.047695145,3.525971773
784,281.52,2345,0.047731987,3.532112496
786,282.24,2368,0.047496475,3.518667092
788,282.96,2383,0.047545914,3.526895386
790,283.68,2410,0.04676368,3.47393218
792,284.4,2442,0.046825071,3.48412502
794,285.12,2465,0.046892974,3.495381889
796,285.84,2493,0.046967465,3.507709604
798,286.56,2514,0.047329715,3.542150732
800,287.28,2538,0.047699768,3.577850349
802,288,2543,0.048642204,3.657265637
804,288.72,2565,0.049878101,3.759707765
806,289.44,2557,0.049709254,3.757040872
808,290.16,2556,0.049830696,3.776862224
810,290.88,2561,0.049674892,3.776214794
812,291.6,2565,0.049810927,3.798289422
814,292.32,2569,0.049668333,3.799651265
816,293.04,2587,0.049494633,3.799078322
818,293.76,2610,0.049470481,3.810444967
820,294.48,2614,0.049278087,3.809297382
822,295.2,2633,0.049160575,3.81434125
824,295.92,2541,0.043514607,3.389248331
826,296.64,2561,0.043200754,3.378053301
828,297.36,2510,0.039451434,3.097371537
830,298.08,2566,0.040794453,3.21606133
832,298.8,2583,0.040378497,3.196752199
834,299.52,2598,0.039667518,3.154052629
836,300.24,2573,0.037760836,3.015707417
838,300.96,2556,0.035570053,2.853523675
840,301.68,2575,0.036624829,2.951559439
842,302.4,2590,0.036381238,2.945542914
844,303.12,2584,0.036402875,2.96117975
846,303.84,2577,0.036911844,3.016915141
848,304.56,2465,0.032806448,2.694363501
850,305.28,2433,0.032188114,2.656512185
852,306,2395,0.030082358,2.495004313
854,306.72,2389,0.029958694,2.497141848
856,307.44,2369,0.028573616,2.393681317
858,308.16,2366,0.028129562,2.368428534
860,308.88,2346,0.02736348,2.315687631
862,309.6,2332,0.027045594,2.300535621
864,310.32,2325,0.026462019,2.262511522
866,311.04,2319,0.026335456,2.263357072
868,311.76,2300,0.025992591,2.245506728
870,312.48,2274,0.025423877,2.207830115
872,313.2,2240,0.025039777,2.185837313
874,313.92,2212,0.025079396,2.200749062
876,314.64,2624,0.042812038,3.776302385
878,315.36,2624,0.043474435,3.854800975
880,316.08,2602,0.042904429,3.824170183
882,316.8,2609,0.04366534,3.912322282
884,317.52,2622,0.044448768,4.003279146
886,318.24,2628,0.044276584,4.008519025
888,318.96,2621,0.044278433,4.029475645
890,319.68,2549,0.041825673,3.825954754
892,320.4,2518,0.041503883,3.816052259
894,321.12,2044,0.020703858,1.913440348
896,321.84,2027,0.020299859,1.885653666
898,322.56,2618,0.047082916,4.395398867
900,323.28,2661,0.048183501,4.520743134
902,324,2685,0.048398213,4.563547444
904,324.72,2677,0.048230314,4.570237019
906,325.44,2670,0.047808187,4.552486942
908,326.16,2658,0.047236142,4.519911461
910,326.88,2649,0.046927992,4.512076307
912,327.6,2617,0.046891955,4.530130252
914,328.32,2609,0.046735481,4.536336098
916,329.04,2636,0.04646099,4.530753707
