OID_,Degree,Elevation,Shape_Length,Distance
2,0,2269,0.017724313,1.811361352
4,0.72,2269,0.017895442,1.833675368
6,1.44,2264,0.01785512,1.834317631
8,2.16,2257,0.017438548,1.796143802
10,2.88,2257,0.017667532,1.824367216
12,3.6,2249,0.017576872,1.819576616
14,4.32,2243,0.017171462,1.782029821
16,5.04,2243,0.017333162,1.803226968
18,5.76,2243,0.017630722,1.838626619
20,6.48,2243,0.017343693,1.813016766
22,7.2,2239,0.017153616,1.797372833
24,7.92,2239,0.017366266,1.823880323
26,8.64,2238,0.017613617,1.854090151
28,9.36,2239,0.017229226,1.817713709
30,10.08,2239,0.017154606,1.81385384
32,10.8,2234,0.017081826,1.810097445
34,11.52,2234,0.017137242,1.819863041
36,12.24,2238,0.017524433,1.864900099
38,12.96,2238,0.017201108,1.834279342
40,13.68,2230,0.017107796,1.828031816
42,14.4,2230,0.017285872,1.850736104
44,15.12,2231,0.017573248,1.885173674
46,15.84,2231,0.017395324,1.86965056
48,16.56,2221,0.017153144,1.847065491
50,17.28,2219,0.017387861,1.875758779
52,18,2219,0.017622373,1.904447159
54,18.72,2223,0.017708914,1.917128746
56,19.44,2223,0.01750945,1.898748433
58,20.16,2227,0.0174557,1.896042803
60,20.88,2227,0.017403755,1.893432244
62,21.6,2227,0.017353612,1.890916279
64,22.32,2226,0.017821525,1.944831862
66,23.04,2226,0.017545414,1.917496298
68,23.76,2217,0.017499951,1.915225276
70,24.48,2209,0.017750117,1.945245176
72,25.2,2209,0.01769911,1.942192126
74,25.92,2191,0.017942446,1.971365332
76,26.64,2191,0.017730885,1.950460718
78,27.36,2172,0.01758321,1.936432394
80,28.08,2158,0.017548433,1.934708191
82,28.8,2158,0.017796724,1.964106986
84,29.52,2150,0.018046951,1.993661003
86,30.24,2142,0.018017186,1.992189766
88,30.96,2129,0.017989517,1.990823269
90,31.68,2129,0.017684176,1.958574507
92,32.4,2116,0.017661154,1.957439299
94,33.12,2110,0.017919393,1.987365345
96,33.84,2110,0.017900436,1.986431802
98,34.56,2107,0.018162302,2.016537588
100,35.28,2098,0.017869401,1.98490475
102,36,2082,0.01813556,2.015222317
104,36.72,2082,0.017869912,1.986295677
106,37.44,2068,0.017840826,1.983499982
108,38.16,2052,0.017836331,1.983279143
110,38.88,2024,0.017834465,1.983187461
112,39.6,1996,0.017835304,1.983228654
114,40.32,1996,0.017838929,1.983406767
116,41.04,1964,0.01728953,1.921931487
118,41.76,1940,0.017298707,1.92238253
120,42.48,2348,0.039295951,4.365204654
122,43.2,2349,0.039052009,4.335979387
124,43.92,2331,0.038535909,4.276142548
126,44.64,2316,0.037746724,4.185649307
128,45.36,2313,0.037801565,4.188351167
130,46.08,2309,0.037304141,4.129440125
132,46.8,2301,0.036812804,4.070832691
