OID_,Degree,Elevation,Shape_Length,Distance
2,0,2091,0.004316859,0.403197389
4,0.72,2091,0.004277997,0.400949266
6,1.44,2091,0.004000597,0.376245453
8,2.16,2091,0.00403577,0.38086227
10,2.88,2091,0.004166229,0.394527702
12,3.6,2091,0.004109589,0.390501916
14,4.32,2100,0.004148348,0.395537365
16,5.04,2100,0.004188421,0.400725809
18,5.76,2100,0.00402764,0.38665987
20,6.48,2100,0.004272779,0.411591826
22,7.2,2100,0.003962465,0.382997802
24,7.92,2100,0.003937522,0.381877792
26,8.64,2100,0.003980602,0.387361467
28,9.36,2100,0.004230293,0.413047409
30,10.08,2100,0.004071704,0.398899291
32,10.8,2100,0.00411992,0.40497515
34,11.52,2091,0.003781811,0.372981477
36,12.24,2091,0.003765708,0.372628759
38,12.96,2091,0.003814163,0.378674266
40,13.68,2091,0.004044089,0.402826503
42,14.4,2091,0.003917367,0.391486388
44,15.12,2091,0.00398669,0.399717824
46,15.84,2085,0.00362114,0.364249165
48,16.56,2085,0.003596127,0.362905486
50,17.28,2085,0.0036497,0.36949926
52,18,2085,0.003878339,0.393906064
54,18.72,2085,0.003768872,0.384008669
56,19.44,2080,0.003500784,0.357824146
58,20.16,2080,0.003478086,0.356624103
60,20.88,2080,0.003778087,0.388596967
62,21.6,2080,0.003488891,0.359967102
64,22.32,2080,0.003557549,0.36818348
66,23.04,2080,0.003630311,0.376864312
68,23.76,2095,0.003685478,0.383753302
70,24.48,2095,0.003663483,0.382611699
72,25.2,2095,0.003641943,0.381497111
74,25.92,2095,0.003620858,0.38040926
76,26.64,2095,0.003907312,0.411704875
78,27.36,2095,0.003885413,0.4105816
80,28.08,2095,0.003607704,0.382325268
82,28.8,2095,0.00371297,0.394591395
84,29.52,2085,0.003522248,0.375364938
86,30.24,2085,0.003503904,0.374434574
88,30.96,2085,0.003486031,0.373530526
90,31.68,2085,0.003468634,0.372652976
92,32.4,2085,0.003560918,0.383563918
94,33.12,2085,0.003707697,0.400393314
96,33.84,2076,0.003419411,0.370182598
98,34.56,2076,0.003694387,0.400924561
100,35.28,2076,0.003389202,0.368675928
102,36,2076,0.003438468,0.374893886
104,36.72,2076,0.003645299,0.398326571
106,37.44,2069,0.003885407,0.425470042
108,38.16,2069,0.003620294,0.39724951
110,38.88,2069,0.003607553,0.396621701
112,39.6,2069,0.003595597,0.39603364
114,40.32,2069,0.003750157,0.413767837
116,41.04,2052,0.003855155,0.426029241
118,41.76,2052,0.003845155,0.425539807
120,42.48,2052,0.003836268,0.425105503
122,43.2,2052,0.003828589,0.424730633
124,43.92,1785,0.000480101,0.053310508
126,44.64,1785,0.000479482,0.053280315
128,45.36,1785,0.00047906,0.053259762
130,46.08,1785,0.000756642,0.084140409
132,46.8,1785,0.000478891,0.053251561
134,47.52,1785,0.000479194,0.053266323
136,48.24,1785,0.000479795,0.053295595
138,48.96,1785,0.000759604,0.084284725
140,49.68,1785,0.000761672,0.084385657
142,50.4,1785,0.000764406,0.084519395
144,51.12,1785,0.000767896,0.084690455
146,51.84,1785,0.000772245,0.084904196
148,52.56,1785,0.000492101,0.053899505
150,53.28,1785,0.000496183,0.054101695
152,54,1785,0.000501083,0.054345564
154,54.72,1785,0.000506926,0.054638108
156,55.44,1785,0.000513865,0.054987809
158,56.16,1785,0.00052208,0.055405099
160,56.88,1780,0.000840286,0.088332284
162,57.6,1780,0.000543261,0.056496545
164,58.32,1780,0.000556814,0.057206308
166,59.04,2859,0.01951472,1.977724878
168,59.76,2878,0.019818936,1.978294903
170,60.48,2909,0.020279664,1.990608023
172,61.2,2898,0.020734984,1.998225595
174,61.92,2867,0.020827533,1.967485709
176,62.64,2791,0.020149327,1.863062467
178,63.36,2719,0.01993563,1.801876973
180,64.08,2695,0.020119018,1.775746527
182,64.8,2613,0.019506096,1.680099166
184,65.52,2633,0.019959328,1.677312846
186,66.24,2622,0.020258714,1.661667638
188,66.96,2633,0.020356034,1.631280043
190,67.68,2669,0.020494779,1.607369627
192,68.4,2660,0.020988453,1.614785742
194,69.12,2630,0.021255756,1.609014522
196,69.84,2694,0.021308723,1.592515685
198,70.56,2691,0.020315106,1.504579519
200,71.28,2718,0.019953619,1.470145949
202,72,2706,0.019097819,1.40507838
204,72.72,2740,0.018850411,1.389754575
206,73.44,2770,0.018648517,1.382025276
208,74.16,2636,0.016518035,1.233769094
210,74.88,2609,0.015806135,1.19244807
212,75.6,2519,0.01482174,1.131285141
214,76.32,2308,0.011970624,0.925489068
216,77.04,2228,0.010203447,0.799715413
218,77.76,2202,0.010053149,0.799156317
220,78.48,2195,0.010512001,0.847701237
222,79.2,2151,0.00976307,0.79865932
224,79.92,2090,0.008993925,0.746209833
226,80.64,2654,0.024577242,2.067598774
228,81.36,2638,0.024576035,2.095432503
