OID_,Degree,Elevation,Shape_Length,Distance
2,0,2465,0.161308218,17.93544004
4,0.72,2454,0.160726297,17.87237261
6,1.44,2451,0.160435756,17.84085943
8,2.16,2449,0.159603111,17.74822252
10,2.88,2461,0.159339379,17.71801802
12,3.6,2477,0.159088945,17.68846283
14,4.32,2444,0.160428516,17.83484518
16,5.04,2401,0.161407966,17.9403106
18,5.76,2423,0.162032743,18.00547169
20,6.48,2401,0.162393464,18.04041396
22,7.2,2374,0.162768267,18.07604565
24,7.92,2388,0.167336771,18.57635082
26,8.64,2408,0.167707318,18.60954315
28,9.36,2414,0.167885627,18.62050018
30,10.08,2409,0.169439124,18.78300672
32,10.8,2387,0.171010032,18.94636968
34,11.52,2338,0.172878749,19.14160839
36,12.24,2283,0.174766475,19.33778439
38,12.96,2259,0.009980245,1.103522258
40,13.68,2259,0.010274892,1.13524208
42,14.4,2274,0.010013352,1.105455857
44,15.12,2274,0.010023838,1.105671318
46,15.84,2274,0.010040178,1.106478211
48,16.56,2285,0.010040574,1.105474498
50,17.28,2285,0.009792316,1.077069437
52,18,2285,0.010094755,1.109178455
54,18.72,2299,0.010114833,1.110173856
56,19.44,2299,0.009659592,1.059002482
58,20.16,2299,0.010157884,1.112311866
60,20.88,2299,0.010089268,1.103436466
62,21.6,2316,0.009917933,1.083309141
64,22.32,2317,0.009654591,1.053144198
66,23.04,2317,0.009679163,1.054371473
68,23.76,2317,0.009415577,1.024197855
70,24.48,2321,0.009483128,1.030027158
72,25.2,2324,0.009468088,1.026830042
74,25.92,2324,0.009495835,1.028224098
76,26.64,2324,0.009232109,0.99805155
78,27.36,2332,0.009554396,1.03117347
80,28.08,2333,0.009052614,0.975344518
82,28.8,2333,0.009026502,0.970818556
84,29.52,2333,0.009057486,0.97238849
86,30.24,2345,0.009162614,0.981847468
88,30.96,2345,0.009421083,1.007620332
90,31.68,2345,0.009156783,0.977438702
92,32.4,2345,0.009192066,0.979240151
94,33.12,2356,0.009057614,0.962938007
96,33.84,2356,0.009266047,0.983029023
98,34.56,2356,0.009304793,0.985019644
100,35.28,2368,0.009162166,0.967791157
102,36,2368,0.009078837,0.95683698
104,36.72,2368,0.009119894,0.958960423
106,37.44,2368,0.009162199,0.96115351
108,38.16,2385,0.00908595,0.950877409
110,38.88,2385,0.008937773,0.933090258
112,39.6,2385,0.008982446,0.935422941
114,40.32,2397,0.009187353,0.954337232
116,41.04,2397,0.009075817,0.940317161
118,41.76,2410,0.009439669,0.975441997
120,42.48,2410,0.009495995,0.978634279
122,43.2,2410,0.00954949,0.981464312
124,43.92,2422,0.009524662,0.97619713
126,44.64,2422,0.009376709,0.958321584
128,45.36,2422,0.009390822,0.957010004
130,46.08,2422,0.00944885,0.960114736
132,46.8,2441,0.009508581,0.963320022
134,47.52,2441,0.009570067,0.966629383
136,48.24,2441,0.009633361,0.970046476
138,48.96,2451,0.009698522,0.973575186
140,49.68,2451,0.009425395,0.943175709
142,50.4,2457,0.009299823,0.927633797
144,51.12,2457,0.009212216,0.915914034
146,51.84,2470,0.009518386,0.943240247
148,52.56,2470,0.009398399,0.928243136
150,53.28,2479,0.009777482,0.962417756
152,54,2479,0.009854736,0.966698361
154,54.72,2489,0.009934339,0.971124299
156,55.44,2489,0.010016372,0.975701433
158,56.16,2489,0.009734471,0.944866947
160,56.88,2489,0.00981848,0.949587816
162,57.6,2499,0.009905105,0.954473422
164,58.32,2499,0.009994447,0.959530838
166,59.04,2499,0.010086613,0.964767525
168,59.76,2510,0.010181716,0.970191415
170,60.48,2510,0.010279874,0.975810855
172,61.2,2510,0.010181194,0.962721536
174,61.92,2510,0.009696383,0.913311879
176,62.64,2510,0.009796354,0.919102142
