OID_,Degree,Elevation,Shape_Length,Distance
2,0,2685,0.048080482,5.326366475
4,0.72,2706,0.048033342,5.32406325
6,1.44,2746,0.047710748,5.290984624
8,2.16,2767,0.04747406,5.267180613
10,2.88,2787,0.047356638,5.256369547
12,3.6,2814,0.047324602,5.254807165
14,4.32,2819,0.04757454,5.284340115
16,5.04,2819,0.047271386,5.252213177
18,5.76,2827,0.046972117,5.220275931
20,6.48,2837,0.046954647,5.219424944
22,7.2,2841,0.04694077,5.218749091
24,7.92,2849,0.046930488,5.218248409
26,8.64,2849,0.046646009,5.187031861
28,9.36,2856,0.04664295,5.186882952
30,10.08,2857,0.046643484,5.186908926
32,10.8,2859,0.046369811,5.156218592
34,11.52,2869,0.046655366,5.187487471
36,12.24,2872,0.046388817,5.157144095
38,12.96,2882,0.04640374,5.157870927
40,13.68,2892,0.046422297,5.158774968
42,14.4,2909,0.046166253,5.128943787
44,15.12,2912,0.04619198,5.130197807
46,15.84,2901,0.045784011,5.083073206
48,16.56,2886,0.045418118,5.040427743
50,17.28,2887,0.04545427,5.042191889
52,18,2851,0.045494102,5.044136577
54,18.72,2788,0.044419566,4.922363129
56,19.44,2790,0.044185878,4.893628089
58,20.16,2716,0.043394999,4.803034719
60,20.88,2487,0.026900016,2.975346361
62,21.6,2532,0.027777045,3.070155713
64,22.32,2543,0.027252643,3.00990397
66,23.04,2566,0.027292219,3.011845599
68,23.76,2568,0.027334157,3.013904861
70,24.48,2584,0.027660989,3.047204555
72,25.2,2591,0.027425235,3.01838297
74,25.92,2617,0.028324914,3.114315184
76,26.64,2637,0.028094168,3.085745018
78,27.36,2642,0.028434071,3.119698097
80,28.08,2653,0.028207405,3.091335227
82,28.8,2663,0.028267969,3.094330149
84,29.52,2670,0.028617638,3.128776085
86,30.24,2686,0.028971365,3.163427046
88,30.96,2698,0.029041493,3.166907879
90,31.68,2732,0.02935272,3.196478814
92,32.4,2756,0.029479668,3.205769921
94,33.12,2770,0.029849379,3.241235261
96,33.84,2763,0.029351205,3.182335273
98,34.56,2709,0.029144498,3.155007208
100,35.28,2705,0.028801292,3.11285256
102,36,2699,0.028883867,3.116617912
104,36.72,2691,0.028532586,3.073476775
106,37.44,2676,0.028626619,3.078209178
108,38.16,2666,0.028316331,3.039366451
110,38.88,2681,0.028406663,3.043426875
112,39.6,2686,0.028493805,3.046969952
114,40.32,2687,0.028578031,3.050026146
116,41.04,2687,0.028659594,3.052623296
118,41.76,2670,0.028356069,3.014112796
120,42.48,2673,0.028167688,2.987811417
122,43.2,2659,0.027980486,2.961582861
124,43.92,2153,0.005021881,0.530379313
126,44.64,2153,0.004921253,0.518583785
128,45.36,2153,0.004908651,0.516067194
130,46.08,2153,0.004931398,0.517241011
132,46.8,2168,0.005258312,0.550206468
134,47.52,2168,0.005161639,0.538767328
136,48.24,2168,0.005318433,0.553744162
138,48.96,2168,0.005345764,0.555168429
140,49.68,2565,0.019198709,1.988603526
142,50.4,2579,0.019435822,2.007812869
144,51.12,2579,0.019566276,2.01581222
146,51.84,2193,0.005463793,0.561360342
148,52.56,2193,0.005170692,0.529752227
150,53.28,2193,0.005528407,0.564777896
152,54,2225,0.005562217,0.566573867
154,54.72,2225,0.005392739,0.547679174
156,55.44,2225,0.005312748,0.537924505
158,56.16,2233,0.005235375,0.528460258
160,56.88,2233,0.005160501,0.519273163
162,57.6,2233,0.005088016,0.510351045
164,58.32,2233,0.005446083,0.544500316
166,59.04,2254,0.005418927,0.540005047
168,59.76,2254,0.005346762,0.53103494
170,60.48,2254,0.005568201,0.551152512
172,61.2,2254,0.005258914,0.518746227
174,61.92,2269,0.005588355,0.549315241
176,62.64,2318,0.006398369,0.626704076
178,63.36,2318,0.006472794,0.631710873
180,64.08,2318,0.006528246,0.634795376
182,64.8,2320,0.006217915,0.602379771
184,65.52,2320,0.00627382,0.60551267
186,66.24,2320,0.006029578,0.579724298
188,66.96,2348,0.0063717,0.610253889
190,67.68,2348,0.006453196,0.61564283
192,68.4,2348,0.006233167,0.592297382
194,69.12,2365,0.006563292,0.621165862
196,69.84,2365,0.00649453,0.61216327
198,70.56,2365,0.006427635,0.603369026
200,71.28,2371,0.006362545,0.594776722
202,72,2371,0.006466557,0.601958465
204,72.72,2371,0.006237557,0.578173465
206,73.44,2389,0.006550791,0.604598297
208,74.16,2389,0.006698582,0.615553704
210,74.88,2389,0.006428547,0.588148433
212,75.6,2389,0.006436978,0.586310975
214,76.32,2389,0.006672346,0.60503113
216,77.04,2389,0.006609296,0.596609224
218,77.76,2357,0.00655623,0.589124694
220,78.48,2357,0.006340424,0.567117574
222,79.2,2357,0.006433149,0.572748252
224,79.92,2334,0.006060585,0.537062955
226,80.64,2334,0.00634176,0.559339725
